FILENAME,BJD,BERV
car-20160520T03h10m13s-sci-gtoc-vis_A.fits,528.6451816999979,11529.196
car-20160624T00h53m17s-sci-gtoc-vis_A.fits,563.5506717000026,3041.1929999999998
car-20160701T00h49m36s-sci-gtoc-vis_A.fits,570.5488983999967,1086.952
car-20160714T00h18m29s-sci-gtoc-vis_A.fits,583.5265037999998,-2535.805
car-20160803T22h46m41s-sci-gtoc-vis_A.fits,604.4637710000025,-9252.759
car-20160806T22h35m04s-sci-gtoc-vis_A.fits,607.4554012000008,-5158.966
car-20160911T20h19m36s-sci-gtoc-vis_A.fits,643.3602373000031,-17707.747000000003
car-20161003T20h26m01s-sci-gtoc-vis_A.fits,665.3620709000024,-16855.636000000002
car-20161010T20h17m25s-sci-gtoc-vis_A.fits,672.3558316999988,-16834.378
car-20161027T18h22m01s-sci-gtoc-vis_A.fits,689.2744954000009,-15724.392
car-20161028T19h23m07s-sci-gtoc-vis_A.fits,690.3167448000022,-15678.008
car-20161029T18h23m46s-sci-gtoc-vis_A.fits,691.2756192000015,-15516.246000000001
car-20161030T18h35m29s-sci-gtoc-vis_A.fits,692.2840921000025,-15415.528999999999
car-20161031T18h37m05s-sci-gtoc-vis_A.fits,693.2848575000025,-15298.701
car-20201005T21h01m15s-sci-gtoc-vis_A.fits,2128.386544699999,-16890.916
car-20201005T21h35m23s-sci-gtoc-vis_A.fits,2128.4099171999987,-16916.118000000002
car-20201005T22h18m01s-sci-gtoc-vis_A.fits,2128.439597299999,-16939.578
car-20201102T18h35m21s-sci-gtoc-vis_A.fits,2156.2832858999973,-15032.069
car-20201109T18h41m16s-sci-gtoc-vis_A.fits,2163.2872511000023,-14033.182999999999
car-20201116T18h33m40s-sci-gtoc-vis_A.fits,2170.2824758999996,-12797.819000000001
car-20201123T18h55m10s-sci-gtoc-vis_A.fits,2177.2965569000007,-11372.197999999999
car-20210202T05h28m49s-sci-gtoc-vis_A.fits,2247.7360264000017,8566.948
car-20210218T05h27m42s-sci-gtoc-vis_A.fits,2263.7358192999964,12227.801
car-20210506T02h20m15s-sci-gtoc-vis_A.fits,2340.6090171000033,14217.546
car-20210716T02h35m13s-sci-gtoc-vis_A.fits,2411.6216712000023,-3174.188
car-20210818T01h06m16s-sci-gtoc-vis_A.fits,2444.559379899998,-11337.126
car-20210904T00h20m11s-sci-gtoc-vis_A.fits,2461.525867999997,-14410.237000000001
car-20210927T19h27m20s-sci-gtoc-vis_A.fits,2485.3175840999975,-16550.246000000003
car-20211013T20h40m30s-sci-gtoc-vis_A.fits,2501.3711226000014,-16772.888
car-20211024T19h50m36s-sci-gtoc-vis_A.fits,2512.336918000001,-16087.264000000001
car-20211107T18h54m51s-sci-gtoc-vis_A.fits,2526.2973620999983,-14386.87
car-20211203T18h01m20s-sci-gtoc-vis_A.fits,2552.258000200003,-9086.91
car-20211214T18h07m48s-sci-gtoc-vis_A.fits,2563.2621972999987,-6192.936000000001
car-20220526T23h28m06s-sci-gtoc-vis_A.fits,2726.4903588000016,10478.266
car-20220526T23h58m53s-sci-gtoc-vis_A.fits,2726.511788900003,10440.329
car-20220528T23h13m54s-sci-gtoc-vis_A.fits,2728.480807400003,10040.089
car-20220606T01h57m15s-sci-gtoc-vis_A.fits,2736.5946067999976,7877.22
car-20220610T00h26m23s-sci-gtoc-vis_A.fits,2740.5318339000005,6997.277999999999
car-20220618T01h01m02s-sci-gtoc-vis_A.fits,2748.5559674999968,4836.267999999999
car-20220707T21h17m37s-sci-gtoc-vis_A.fits,2768.401052399997,-415.10200000000003
car-20220716T00h00m15s-sci-gtoc-vis_A.fits,2776.513645400002,-2892.301
car-20220724T01h26m59s-sci-gtoc-vis_A.fits,2784.573563799997,-5201.42
car-20220801T01h10m47s-sci-gtoc-vis_A.fits,2792.5622514999995,-7290.397
car-20220808T22h07m55s-sci-gtoc-vis_A.fits,2800.435640399999,-9029.563
car-20220815T22h07m59s-sci-gtoc-vis_A.fits,2807.434960999999,-10637.024
car-20220822T21h15m51s-sci-gtoc-vis_A.fits,2814.398588099997,-12041.907
car-20220829T22h07m43s-sci-gtoc-vis_A.fits,2821.434223299999,-13429.852
car-20220905T20h08m30s-sci-gtoc-vis_A.fits,2828.3514854000023,-14390.867
car-20220911T22h18m51s-sci-gtoc-vis_A.fits,2834.4411685000014,-15358.826000000001
car-20220918T23h32m36s-sci-gtoc-vis_A.fits,2841.4926092000023,-16152.660999999998
car-20221008T20h02m54s-sci-gtoc-vis_A.fits,2861.3456085,-16830.093999999997
car-20221017T19h01m22s-sci-gtoc-vis_A.fits,2870.302302199998,-16530.516
car-20221113T18h02m40s-sci-gtoc-vis_A.fits,2897.2600920999976,-13408.05
car-20221126T18h07m14s-sci-gtoc-vis_A.fits,2910.2630647999977,-10801.949
car-20230312T04h33m06s-sci-gtoc-vis_A.fits,3015.698854299997,15596.132000000001
